REP,DESIGN,OFV,KA,CL,V,ADD,PROP,OM_KA,OM_CL,OM_V,TERM
86,rich,-434.303056612854,1.16082,4.16472,48.8224,0.0151232,0.132087,0.195277,0.110065,0.0532985,SUCCESS
87,rich,-485.10045289004,1.23677,4.27958,56.4445,0.0621625,0.116986,0.0757634,0.0897501,0.0387703,SUCCESS
88,rich,-430.658940527108,1.06938,3.89914,48.8636,0.0391995,0.124638,0.188578,0.130328,0.0386166,SUCCESS
89,rich,-407.91133838781,1.19894,3.96031,45.7424,0.0680522,0.116541,0.138668,0.103293,0.0417143,SUCCESS
90,rich,-477.577965728277,1.21811,4.06143,54.9228,0.0295425,0.129371,0.195296,0.0924944,0.0231302,SUCCESS
91,rich,-472.022985558492,1.08999,3.90754,48.6618,0.0494189,0.100077,0.17868,0.119057,0.0417624,SUCCESS
92,rich,-423.709754064482,1.34774,3.64043,52.782,0.0347354,0.138696,0.149784,0.0680581,0.0373734,SUCCESS
93,rich,-521.433713119849,1.31266,4.18762,53.7091,0.0713293,0.0896072,0.0921333,0.0471251,0.0353166,SUCCESS
94,rich,-452.22123674338,1.2772,3.88773,50.941,0.0514499,0.114338,0.164048,0.0794849,0.045762,SUCCESS
95,rich,-463.534767763163,1.37049,4.11359,51.2533,0.00739858,0.126636,0.151454,0.109322,0.0335933,SUCCESS
96,rich,-473.992254119887,1.21596,4.11089,47.469,0.0696534,0.102806,0.125292,0.084237,0.0131794,SUCCESS
97,rich,-467.092405249915,1.29703,3.81178,51.7299,0.00160507,0.122818,0.153646,0.0937259,0.0373316,SUCCESS
98,rich,-461.350889616472,1.07767,3.84951,52.5653,0.0523354,0.121036,0.210514,0.11172,0.0179642,SUCCESS
99,rich,-484.473565605088,1.27162,4.2544,52.9958,0.0504945,0.117788,0.180898,0.0654717,0.0224055,SUCCESS
100,rich,-484.414809681787,1.20616,3.85624,55.8103,0.0159709,0.126216,0.251165,0.0821929,0.0239481,SUCCESS
1,sparse2,-77.4105251414944,0.592167,4.49305,29.9841,0.227613,0.078797,0.119098,2.60562e-06,7.68471e-13,SUCCESS
2,sparse2,-90.4356175794551,1.07343,4.19714,50.356,0.0385053,2.28954e-09,1.21995e-11,0.0937379,0.108263,SUCCESS
3,sparse2,-63.3206572166325,0.859998,4.2441,42.0679,0.0244306,0.0835487,0.00693876,0.109642,0.127442,SUCCESS
4,sparse2,-92.3958028806752,0.949438,3.82015,44.1504,0.000133559,1.43549e-21,1.10784e-20,0.0864467,0.0794305,ROUNDING
5,sparse2,-98.7554144796508,2.60108,2.93941,72.8217,0.152607,0.10648,3.28903e-10,0.0252131,0.0565478,SUCCESS
6,sparse2,-80.6644170107591,0.979631,3.93606,46.8958,0.0295633,0.0821101,0.00982921,0.14352,0.0587319,SUCCESS
7,sparse2,-92.0825135744096,0.855937,4.61705,43.6003,0.0422196,0.0422147,0.0518153,0.0875246,0.0507853,SUCCESS
8,sparse2,-88.1648499477539,0.604171,4.53178,34.703,0.0321801,0.0887141,0.0614597,0.0705076,0.0263038,SUCCESS
9,sparse2,-66.1788994520655,0.747566,4.05739,38.6685,0.0958735,0.0881731,0.0763285,0.0696443,0.0765909,SUCCESS
10,sparse2,-91.0835886300149,1.28284,3.78537,50.4376,0.0888995,0.0657741,0.0153579,0.0604509,0.0748241,SUCCESS
11,sparse2,-83.9189953607691,1.22281,3.75635,55.3547,7.07891e-14,2.81936e-05,0.0362694,0.16136,0.0914746,SUCCESS
12,sparse2,-83.9981038718309,0.625276,4.39342,31.514,0.127053,0.107988,0.121273,0.0262519,0.000306912,SUCCESS
13,sparse2,-76.3285248571301,1.2204,3.94891,48.5656,0.0685612,0.088076,0.0839935,0.0705442,0.0805552,SUCCESS
14,sparse2,-77.2980830839744,0.910001,4.3147,44.9383,0.171969,0.0754682,0.0608431,0.0433313,0.0594632,SUCCESS
15,sparse2,-85.7320198042518,2.30891,3.09737,78.8029,0.153781,0.197073,0.0323148,0.0575642,0.0382674,SUCCESS
16,sparse2,-92.8094307687719,0.715405,3.79203,35.4679,9.66014e-05,5.10373e-05,6.58103e-17,0.0494505,0.0852985,SUCCESS
17,sparse2,-88.1779434075185,1.15354,3.87778,51.1992,0.000733288,0.000251009,0.235339,0.135606,0.0116504,SUCCESS
18,sparse2,-98.5984904218857,2.0666,4.18047,64.2985,0.202801,0.0311541,0.426931,3.34868e-06,0.0106301,SUCCESS
19,sparse2,-91.7852590840063,0.964407,3.96948,45.382,0.16119,0.0345949,0.0689116,0.0235914,0.0488797,SUCCESS
20,sparse2,-94.1617744813217,3.4392,3.28241,73.7075,0.125574,0.127042,0.77351,0.0211911,0.0534032,SUCCESS
21,sparse2,-102.726889973004,1.50514,3.53043,53.9479,0.17538,0.0444913,1.45683e-06,6.93941e-07,0.054163,SUCCESS
22,sparse2,-66.1533880119996,0.951915,3.84703,38.78,0.000130446,6.17291e-05,0.559889,0.115365,2.57478e-10,ROUNDING
23,sparse2,-73.6288901976563,1.04067,3.9191,46.7867,0.261202,0.0496459,1.32162e-35,7.44554e-66,0.0565834,SUCCESS
24,sparse2,-66.4467527144752,0.732484,4.24839,35.1593,0.000211811,6.12807e-05,0.176633,0.0955076,0.0162682,SUCCESS
25,sparse2,-88.8815650020561,4.44823,3.39331,61.2531,0.0745467,0.0910471,1.07777,0.0488585,0.0618246,SUCCESS
26,sparse2,-96.9339670776707,3.17234,3.34372,70.9285,0.116599,0.0729928,0.287627,0.123922,0.0483176,SUCCESS
27,sparse2,-95.9435122947745,1.05948,3.98848,52.1559,0.118832,0.125784,4.03836e-09,0.0239734,0.0792828,ROUNDING
28,sparse2,-92.0800833599851,0.411258,4.30018,23.644,5.50474e-05,9.23144e-05,0.10928,0.0340592,0.00812695,SUCCESS
29,sparse2,-86.8641836982885,5.56893,3.30221,73.6976,0.139546,0.203367,0.00101066,0.0582734,0.0201342,SUCCESS
30,sparse2,-93.7192767262626,0.837028,4.22057,42.1214,6.78569e-05,1.05129e-06,0.0609563,0.0906767,0.0376128,SUCCESS
31,sparse2,-106.593412554105,1.31369,4.13616,47.6521,0.000106497,5.28051e-05,0.386905,0.0844971,3.35521e-08,ROUNDING
