ID,TIME,DV,MDV,GRP
24,19,249.5,0,1
24,21,288.6,0,1
25,7,50.6,0,1
25,9,66.2,0,1
25,11,19.4,0,1
25,13,120.5,0,1
25,15,130,0,1
25,17,258.4,0,1
25,19,307.5,0,1
25,21,353.9,0,1
26,7,1,0,1
26,9,37.9,0,1
26,11,104.9,0,1
26,13,156.8,0,1
26,15,269.8,0,1
26,17,286.7,0,1
26,19,299.5,0,1
26,21,445.8,0,1
27,7,86.1,0,1
27,9,105.1,0,1
27,11,206.2,0,1
27,13,305.2,0,1
27,15,343.8,0,1
27,17,443.6,0,1
27,19,656.3,0,1
27,21,684.2,0,1
28,7,1,0,1
28,9,105.8,0,1
28,11,118,0,1
28,13,203.1,0,1
28,15,229.6,0,1
28,17,300.5,0,1
28,19,420.7,0,1
28,21,473.4,0,1
29,7,145,0,1
29,9,1,0,1
29,11,147.3,0,1
29,13,125.7,0,1
29,15,186.2,0,1
29,17,193.3,0,1
29,19,321.3,0,1
29,21,325.1,0,1
30,7,18.7,0,1
30,9,58,0,1
30,11,88,0,1
30,13,149.6,0,1
30,15,99.2,0,1
30,17,218.3,0,1
30,19,206.3,0,1
30,21,263.3,0,1
31,7,55,0,1
31,9,129.4,0,1
31,11,125.7,0,1
31,13,197,0,1
31,15,268.3,0,1
31,17,308.8,0,1
31,19,359.5,0,1
31,21,539.1,0,1
32,7,116.6,0,1
32,9,159.3,0,1
32,11,143.3,0,1
32,13,280.4,0,1
32,15,371.2,0,1
32,17,440.8,0,1
32,19,598.2,0,1
32,21,715.5,0,1
33,7,48.7,0,1
33,9,159.5,0,1
33,11,148.6,0,1
33,13,171.1,0,1
33,15,146.1,0,1
33,17,269.6,0,1
33,19,349.6,0,1
33,21,415,0,1
34,7,66.4,0,1
34,9,26.5,0,1
34,11,218.9,0,1
34,13,204.8,0,1
34,15,313.9,0,1
34,17,462.2,0,1
34,19,488.1,0,1
34,21,486.3,0,1
35,7,35,0,1
35,9,1,0,1
35,11,95.5,0,1
35,13,74.8,0,1
35,15,143.7,0,1
35,17,151.6,0,1
35,19,215.3,0,1
35,21,243.8,0,1
36,7,59.8,0,1
36,9,71.5,0,1
36,11,89.4,0,1
36,13,165.4,0,1
36,15,277.9,0,1
36,17,173.6,0,1
36,19,234.8,0,1
36,21,448,0,1
37,7,3.3,0,1
37,9,3.4,0,1
37,11,58.4,0,1
37,13,94.1,0,1
37,15,180,0,1
37,17,252.5,0,1
37,19,288.4,0,1
37,21,281.4,0,1
38,7,1,0,1
38,9,1,0,1
38,11,67.4,0,1
38,13,83.5,0,1
38,15,149.6,0,1
38,17,162.7,0,1
38,19,157.6,0,1
38,21,283.1,0,1
39,7,1,0,1
39,9,56.3,0,1
39,11,89,0,1
39,13,52.5,0,1
39,15,118,0,1
39,17,131.6,0,1
39,19,130.4,0,1
39,21,136,0,1
40,7,119,0,1
40,9,104.7,0,1
40,11,154.9,0,1
40,13,195,0,1
40,15,301.8,0,1
40,17,392.2,0,1
40,19,469.1,0,1
40,21,581.8,0,1
